DC Number,Offense Date,Offense,Sentence Date,County,Case No.,Prison Sentence Length
019762,03/20/1986,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),10/06/1986,HILLSBOROUGH,8604083,30Y 0M 0D
640779,07/10/1985,KIDNAP;COMM.OR FAC.FELONY,11/20/1986,BROWARD,8602598,SENTENCED TO LIFE
640779,07/10/1985,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),11/20/1986,BROWARD,8602598,25Y 0M 0D
640779,01/30/1986,1ST DG MUR/PREMED. OR ATT.,05/01/1987,BROWARD,8611716,DEATH SENTENCE
573461,06/16/1986,1ST DG MUR/PREMED. OR ATT.,05/18/1987,MANATEE,8601225,DEATH SENTENCE
573461,01/13/1985,BURG/DWELL/OCCUP.CONVEY,06/11/1987,MANATEE,8500463,2Y 6M 0D
573461,01/13/1985,ROBB. NO GUN/DDLY.WPN,06/11/1987,MANATEE,8500463,2Y 6M 0D
573461,06/16/1986,ROBB. GUN OR DEADLY WPN,09/30/1987,MANATEE,8601240,12Y 0M 0D
108509,05/05/1985,1ST DG MUR/PREMED. OR ATT.,08/07/1987,PINELLAS,8507084,DEATH SENTENCE
040002,09/30/1991,BATT.LEO/FIRFGT/EMS/ETC.,01/16/1992,INDIAN RIVER,9101081,2Y 6M 0D
040002,09/23/1986,1ST DG MUR/PREMED. OR ATT.,03/06/1992,INDIAN RIVER,8600729,DEATH SENTENCE
226426,06/10/1986,1ST DG MUR/PREMED. OR ATT.,11/09/1987,PASCO,8601355,DEATH SENTENCE
226426,06/10/1986,1ST DG MUR/PREMED. OR ATT.,11/09/1987,PASCO,8601355,SENTENCED TO LIFE
639131,01/01/1982,1ST DG MUR/PREMED. OR ATT.,11/02/1987,BROWARD,8615270,DEATH SENTENCE
639131,01/01/1982,KIDNAP;COMM.OR FAC.FELONY,11/02/1987,BROWARD,8615270,22Y 0M 0D
639131,03/13/1980,SEX BAT/COERCES BY THREAT,11/02/1987,BROWARD,8002497,SENTENCED TO LIFE
639131,01/06/1981,GRAND THEFT MOTOR VEHICLE,11/02/1987,BROWARD,8200198,5Y 0M 0D
072746,10/20/1986,1ST DG MUR/PREMED. OR ATT.,12/11/1987,DUVAL,8703527,SENTENCED TO LIFE
072746,10/20/1986,BURGLARY ASSAULT ANY PERSON,12/11/1987,DUVAL,8703527,17Y 0M 0D
072746,10/20/1986,ROBB. GUN OR DEADLY WPN,12/11/1987,DUVAL,8703527,17Y 0M 0D
072746,11/11/1986,1ST DG MUR/PREMED. OR ATT.,11/02/1988,DUVAL,8611599,DEATH SENTENCE
072746,11/11/1986,BURGLARY ASSAULT ANY PERSON,11/02/1988,DUVAL,8611599,9Y 0M 0D
042115,05/07/1987,1ST DG MUR/PREMED. OR ATT.,02/26/1988,HILLSBOROUGH,8708047,DEATH SENTENCE
046651,08/09/1981,1ST DG MUR/PREMED. OR ATT.,04/11/1988,PALM BEACH,8201893,DEATH SENTENCE
046651,08/09/1981,BURG/DWELL/OCCUP.CONVEY,04/11/1988,PALM BEACH,8105015,12Y 0M 0D
019513,01/09/1981,1ST DG MUR/PREMED. OR ATT.,04/28/1988,POLK,8100112,
019513,01/09/1981,1ST DG MUR/PREMED. OR ATT.,04/28/1988,POLK,8100112,
019513,01/09/1981,1ST DG MUR/PREMED. OR ATT.,04/28/1988,POLK,8100112,
019513,01/09/1981,ROBB. GUN OR DEADLY WPN,04/28/1988,ALACHUA,8800448,SENTENCED TO LIFE
019513,01/09/1981,KIDNAP;COMM.OR FAC.FELONY,04/28/1988,ALACHUA,8800448,15Y 0M 0D
019513,01/09/1981,"ARSON,WILLFUL DAMA.STRUCT.",04/28/1988,ALACHUA,8800448,15Y 0M 0D
019513,01/09/1981,ROBB. GUN OR DEADLY WPN,04/28/1988,ALACHUA,8800448,SENTENCED TO LIFE
019513,01/09/1981,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),04/28/1988,ALACHUA,8800448,30Y 0M 0D
019513,01/09/1981,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),04/28/1988,ALACHUA,8800448,30Y 0M 0D
111508,07/27/1987,1ST DG MUR/PREMED. OR ATT.,05/03/1988,PUTNAM,8701695,DEATH SENTENCE
111508,08/27/1987,ROBB. GUN OR DEADLY WPN,05/03/1988,PUTNAM,8701695,9Y 0M 0D
111508,07/27/1987,"BURGLARY,ARMED W/EXP. OR WEAPO",05/03/1988,PUTNAM,8701695,7Y 0M 0D
111508,07/27/1987,EXPLOSIVES-TEACHING USE,05/03/1988,PUTNAM,8701695,3Y 6M 0D
111918,08/18/1987,1ST DG MUR/PREMED. OR ATT.,06/02/1988,MANATEE,8702014,DEATH SENTENCE
111918,08/18/1987,TRAFFICKING IN COCAINE,06/02/1988,MANATEE,8702014,30Y 0M 0D
112232,05/12/1987,1ST DG MUR/PREMED. OR ATT.,06/30/1988,LAKE,8701347,DEATH SENTENCE
112232,05/11/1987,SEX BAT BY ADULT/VCTM LT 12,06/30/1988,LAKE,8800262,SENTENCED TO LIFE
097494,06/24/1987,1ST DG MUR/PREMED. OR ATT.,07/25/1988,PASCO,8701775,DEATH SENTENCE
097494,12/13/1987,"CONTRABAND, CO DETENTN FAC",08/03/1988,PASCO,8703759,5Y 0M 0D
112850,07/22/1987,"1ST DEG MUR,COM.OF FELONY",07/29/1992,OKALOOSA,8700856,DEATH SENTENCE
112850,07/22/1987,"1ST DEG MUR,COM.OF FELONY",07/29/1992,OKALOOSA,8700856,SENTENCED TO LIFE
112850,07/22/1987,"BURGLARY,ARMED W/EXP. OR WEAPO",07/29/1992,OKALOOSA,8700856,20Y 0M 0D
112850,07/22/1987,KIDNAP;COMM.OR FAC.FELONY,07/29/1992,OKALOOSA,8700856,20Y 0M 0D
112850,05/19/1987,1ST DG MUR/PREMED. OR ATT.,10/05/1994,OKALOOSA,9300602,SENTENCED TO LIFE
112850,05/19/1987,BURGLARY ASSAULT ANY PERSON,10/05/1994,OKALOOSA,9300602,SENTENCED TO LIFE
112967,11/27/1987,1ST DG MUR/PREMED. OR ATT.,09/06/1988,MARION,8702719,DEATH SENTENCE
115769,08/15/1988,1ST DG MUR/PREMED. OR ATT.,04/05/1989,PUTNAM,8801357,DEATH SENTENCE
115769,08/15/1988,ROBB. GUN OR DEADLY WPN,04/05/1989,PUTNAM,8801357,9Y 0M 0D
115769,08/15/1988,SEX BAT/ WPN. OR FORCE,04/05/1989,PUTNAM,8801357,27Y 0M 0D
086160,10/24/1988,"1ST DEG MUR,COM.OF FELONY",05/12/1989,HILLSBOROUGH,8815525,DEATH SENTENCE
086160,10/24/1988,SEX BAT/ WPN. OR FORCE,05/12/1989,HILLSBOROUGH,8815525,SENTENCED TO LIFE
116320,12/25/1987,1ST DG MUR/PREMED. OR ATT.,04/17/1989,HERNANDO,8800028,DEATH SENTENCE
117157,01/08/1987,1ST DG MUR/PREMED. OR ATT.,08/10/1989,HILLSBOROUGH,8902165,DEATH SENTENCE
286020,02/17/1988,1ST DG MUR/PREMED. OR ATT.,09/15/1989,DUVAL,8811505,DEATH SENTENCE
286020,02/17/1988,BURGLARY ASSAULT ANY PERSON,09/15/1989,DUVAL,8811505,SENTENCED TO LIFE
286020,02/17/1988,ROBB. GUN OR DEADLY WPN,09/15/1989,DUVAL,8811505,SENTENCED TO LIFE
286020,02/17/1988,SEX BAT/INJURY NOT LIKELY,09/15/1989,DUVAL,8811505,30Y 0M 0D
096867,08/22/1988,1ST DG MUR/PREMED. OR ATT.,03/15/1990,PALM BEACH,8811366,DEATH SENTENCE
096867,08/18/1988,ESCAPE,03/15/1990,PALM BEACH,8811366,15Y 0M 0D
096867,08/21/1988,BURGUNOCCSTRUC/CV OR ATT.,03/15/1990,PALM BEACH,8811366,5Y 0M 0D
096867,08/21/1988,GRAND THEFT MOTOR VEHICLE,03/15/1990,PALM BEACH,8811366,5Y 0M 0D
096867,08/22/1988,"BURGLARY,ARMED W/EXP. OR WEAPO",03/15/1990,PALM BEACH,8811366,SENTENCED TO LIFE
096867,08/22/1988,GRAND THEFT FIREARM,03/15/1990,PALM BEACH,8811366,5Y 0M 0D
096867,08/23/1988,BURGUNOCCSTRUC/CV OR ATT.,03/15/1990,PALM BEACH,8811366,5Y 0M 0D
096867,08/23/1988,GRAND THEFT MOTOR VEHICLE,03/15/1990,PALM BEACH,8811366,5Y 0M 0D
096867,08/24/1988,ROBB. NO GUN/DDLY.WPN,03/15/1990,PALM BEACH,8811366,15Y 0M 0D
096867,08/24/1988,KIDNAP;COMM.OR FAC.FELONY(ATTEMPTED),03/15/1990,PALM BEACH,8811366,15Y 0M 0D
096867,08/24/1988,COCAINE-POSSESS,03/15/1990,PALM BEACH,8811366,5Y 0M 0D
119682,09/09/1988,1ST DG MUR/PREMED. OR ATT.,09/30/1994,HILLSBOROUGH,8812996,DEATH SENTENCE
119682,09/09/1988,"BURGLARY,ARMED W/EXP. OR WEAPO",09/30/1994,HILLSBOROUGH,8812996,SENTENCED TO LIFE
119682,09/09/1988,"KIDNAP,ASSAULT OR TERRORIZE",09/30/1994,HILLSBOROUGH,8812996,SENTENCED TO LIFE
119682,09/09/1988,"KIDNAP,ASSAULT OR TERRORIZE",09/30/1994,HILLSBOROUGH,8812996,SENTENCED TO LIFE
119682,09/09/1988,GRAND THEFT MOTOR VEHICLE,09/30/1994,HILLSBOROUGH,8812996,5Y 0M 0D
119682,09/09/1988,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),09/30/1994,HILLSBOROUGH,8812996,30Y 0M 0D
119773,07/12/1989,1ST DG MUR/PREMED. OR ATT.,04/25/1990,OKALOOSA,8900966,DEATH SENTENCE
394141,05/13/1988,"1ST DEG MUR,COM.OF FELONY",03/28/1990,MIAMI-DADE,8818180,DEATH SENTENCE
394141,05/13/1988,ROBB. GUN OR DEADLY WPN,03/28/1990,MIAMI-DADE,8818180,SENTENCED TO LIFE
394141,05/12/1988,ROBB. GUN OR DEADLY WPN(CONSPIRACY TO COMMIT),03/28/1990,MIAMI-DADE,8818180,15Y 0M 0D
394141,05/14/1988,ROBB. GUN OR DEADLY WPN(ATTEMPTED),03/28/1990,MIAMI-DADE,8818180,15Y 0M 0D
394141,05/14/1988,"BURGLARY,ARMED W/EXP. OR WEAPO",03/28/1990,MIAMI-DADE,8818180,SENTENCED TO LIFE
394141,05/14/1988,AGG ASSLT-W/WPN NO INTENT TO K,03/28/1990,MIAMI-DADE,8818180,5Y 0M 0D
394141,05/14/1988,"1ST DEG MUR,COM.OF FELONY(ATTEMPTED)",03/28/1990,MIAMI-DADE,8818180,SENTENCED TO LIFE
188854,11/03/1989,"BURGLARY,ARMED W/EXP. OR WEAPO",06/15/1990,BROWARD,8923664,17Y 0M 0D
188854,11/03/1989,AGG BATTERY/W/DEADLY WEAPON,06/15/1990,BROWARD,8923664,15Y 0M 0D
188854,10/29/1989,KIDNAP;COMM.OR FAC.FELONY,04/19/1991,BROWARD,9015497,SENTENCED TO LIFE
188854,10/29/1989,SEX BAT/ WPN. OR FORCE,04/19/1991,BROWARD,9015497,SENTENCED TO LIFE
188854,10/29/1989,SEX BAT/ WPN. OR FORCE(ATTEMPTED),04/19/1991,BROWARD,9015497,30Y 0M 0D
188854,10/29/1989,AGG BATTERY INTENDED HARM,04/19/1991,BROWARD,9015497,SENTENCED TO LIFE
188854,04/30/1997,INTRODUCE CONT.SUBSTANCE,07/24/1997,JACKSON,9700408,1Y 0M 0D
188854,12/21/1998,1ST DG MUR/PREMED. OR ATT.,07/24/2000,LAKE,9900249,DEATH SENTENCE
188854,12/21/1998,BATTERY BY DETAINEE,07/24/2000,LAKE,9900249,5Y 0M 0D
120467,08/11/1989,1ST DG MUR/PREMED. OR ATT.,06/25/1990,PINELLAS,8913299,DEATH SENTENCE
120467,08/11/1989,ROBB. GUN OR DEADLY WPN,06/25/1990,PINELLAS,8913299,10Y 0M 0D
751166,12/20/1989,1ST DG MUR/PREMED. OR ATT.,06/19/1990,FLAGLER,9000001,DEATH SENTENCE
751166,12/20/1989,1ST DG MUR/PREMED. OR ATT.,06/19/1990,FLAGLER,9000001,DEATH SENTENCE
751166,12/20/1989,ROBB. GUN OR DEADLY WPN,06/19/1990,FLAGLER,9000001,30Y 0M 0D
751166,12/20/1989,"BURGLARY,ARMED W/EXP. OR WEAPO",06/19/1990,FLAGLER,9000001,SENTENCED TO LIFE
751166,12/20/1989,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),06/19/1990,FLAGLER,9000001,SENTENCED TO LIFE
751166,12/20/1989,ROBB. GUN OR DEADLY WPN,06/19/1990,FLAGLER,9000001,30Y 0M 0D
751166,12/20/1989,"BURGLARY,ARMED W/EXP. OR WEAPO",06/19/1990,FLAGLER,9000001,SENTENCED TO LIFE
751166,06/09/1988,BURG/DWELL/OCCUP.CONVEY,06/19/1990,FLAGLER,8800245,2Y 6M 0D
751166,06/09/1988,BURGUNOCCSTRUC/CV OR ATT.,06/19/1990,FLAGLER,8800246,2Y 6M 0D
751166,09/15/1989,"1ST DEG MUR,COM.OF FELONY(ATTEMPTED)",06/26/1990,VOLUSIA,9000068,SENTENCED TO LIFE
751166,09/15/1989,"1ST DEG MUR,COM.OF FELONY(ATTEMPTED)",06/26/1990,VOLUSIA,9000068,SENTENCED TO LIFE
751166,09/15/1989,ROBB. GUN OR DEADLY WPN,06/26/1990,VOLUSIA,9000068,SENTENCED TO LIFE
751166,12/20/1989,AGG ASSLT-W/WPN NO INTENT TO K,08/09/1990,FLAGLER,9000311,15Y 0M 0D
751166,12/20/1989,POSS.FIREARM BY FELON,08/09/1990,FLAGLER,9000017,15Y 0M 0D
751166,11/20/1986,1ST DG MUR/PREMED. OR ATT.,08/09/1990,FLAGLER,9000007,SENTENCED TO LIFE
751166,11/20/1986,"BURGLARY,ARMED W/EXP. OR WEAPO",08/09/1990,FLAGLER,9000007,SENTENCED TO LIFE
256512,06/19/1989,"ARSON,WILLFUL DAMA.STRUCT.",08/29/1990,PINELLAS,8909617,7Y 0M 0D
256512,11/07/1988,UTTERING FORGERY,08/29/1990,PINELLAS,8911023,5Y 0M 0D
256512,12/15/1989,UTTERING FORGERY,08/29/1990,PINELLAS,9000985,5Y 0M 0D
256512,12/15/1989,"GRAND THEFT O/20,000 L/$100,00",08/29/1990,PINELLAS,9000985,7Y 0M 0D
256512,10/07/1988,"GRAND THEFT O/20,000 L/$100,00",08/29/1990,PINELLAS,9009351,7Y 0M 0D
256512,01/04/1990,"GRAND THEFT,$300 LESS &20,000",08/29/1990,PINELLAS,9002446,5Y 0M 0D
256512,01/04/1990,UTTERING FORGERY,08/29/1990,PINELLAS,9002446,5Y 0M 0D
256512,01/03/1990,"GRAND THEFT,$300 LESS &20,000",08/29/1990,PINELLAS,9002799,5Y 0M 0D
256512,01/03/1990,UTTERING FORGERY,08/29/1990,PINELLAS,9002799,5Y 0M 0D
256512,10/06/1989,"GRAND THEFT,$300 LESS &20,000",08/29/1990,PINELLAS,9006150,5Y 0M 0D
256512,12/01/1988,"GRAND THEFT O/20,000 L/$100,00",08/29/1990,PINELLAS,9009425,7Y 0M 0D
256512,12/01/1988,UTTERING FORGERY,08/29/1990,PINELLAS,9009589,5Y 0M 0D
256512,12/15/1989,"GRAND THEFT O/20,000 L/$100,00",11/09/1990,HILLSBOROUGH,9002775,2Y 0M 0D
256512,12/15/1989,UTTERING FORGERY,11/09/1990,HILLSBOROUGH,9002775,2Y 0M 0D
256512,09/14/1991,GRAND THEFT MOTOR VEHICLE,12/11/1991,DUVAL,9110970,4Y 6M 0D
256512,07/14/1993,POSS.FIREARM BY FELON,03/14/1994,PINELLAS,9310397,15Y 0M 0D
256512,07/14/1993,CARRYING CONCEALED FIREARM,03/14/1994,PINELLAS,9310397,10Y 0M 0D
256512,12/25/2003,"1ST DEG MUR,COM.OF FELONY",01/09/2006,HILLSBOROUGH,0400774,
256512,12/25/2003,"1ST DEG MUR,COM.OF FELONY",01/09/2006,HILLSBOROUGH,0400774,
256512,12/25/2003,"CARJACK W/FA,DEADLY WEAPON",01/09/2006,HILLSBOROUGH,0400774,SENTENCED TO LIFE
729185,02/01/1989,"1ST DEG MUR,COM.OF FELONY",03/26/1990,BAY,8900495,DEATH SENTENCE
729185,02/01/1989,ROBB. GUN OR DEADLY WPN,03/26/1990,BAY,8900495,SENTENCED TO LIFE
729185,02/01/1989,BURGLARY ASSAULT ANY PERSON,03/26/1990,BAY,8900495,SENTENCED TO LIFE
729185,02/01/1989,"GRAND THEFT O/20,000 L/$100,00",03/26/1990,BAY,8900495,30Y 0M 0D
729185,01/15/1990,ESCAPE,09/14/1990,BAY,9000105,30Y 0M 0D
729185,08/10/1987,ACCESSORY AFTER FACT,03/26/1990,BAY,8701471,4Y 6M 0D
729185,08/10/1987,ACCESSORY AFTER FACT,03/26/1990,BAY,8701470,4Y 6M 0D
729185,08/10/1987,ACCESSORY AFTER FACT,03/26/1990,BAY,8701469,4Y 6M 0D
729185,12/06/1985,ACCESSORY AFTER FACT,03/26/1990,BAY,8601402,4Y 6M 0D
729185,12/13/1985,ACCESSORY AFTER FACT,03/26/1990,BAY,8601402,4Y 6M 0D
616550,10/20/1989,1ST DG MUR/PREMED. OR ATT.,11/01/1990,VOLUSIA,8907632,DEATH SENTENCE
616550,11/04/1989,1ST DG MUR/PREMED. OR ATT.,11/01/1990,VOLUSIA,8907632,DEATH SENTENCE
616550,10/01/1989,1ST DG MUR/PREMED. OR ATT.(CONSPIRACY TO COMMIT),11/01/1990,VOLUSIA,8907632,SENTENCED TO LIFE
616550,11/01/1989,1ST DG MUR/PREMED. OR ATT.(ACCESSORY),11/01/1990,VOLUSIA,8907632,SENTENCED TO LIFE
616550,11/04/1989,"BURGLARY,ARMED W/EXP. OR WEAPO",11/01/1990,VOLUSIA,9001995,SENTENCED TO LIFE
616550,11/04/1989,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),11/01/1990,VOLUSIA,9001995,SENTENCED TO LIFE
616550,11/04/1989,1ST DG MUR/PREMED. OR ATT.(ACCESSORY),11/01/1990,VOLUSIA,9001995,SENTENCED TO LIFE
616550,11/01/1989,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),11/01/1990,VOLUSIA,9006668,SENTENCED TO LIFE
065145,05/23/1989,1ST DG MUR/PREMED. OR ATT.,12/17/1990,ALACHUA,8903026,DEATH SENTENCE
065145,05/24/1989,ROBB. GUN OR DEADLY WPN,01/25/1991,ALACHUA,8903026,SENTENCED TO LIFE
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/24/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
065145,05/25/1989,UTTERING FORGERY,01/25/1991,ALACHUA,8903026,10Y 0M 0D
324342,06/20/1989,ROBB. GUN OR DEADLY WPN,07/06/1990,ORANGE,8905977,20Y 0M 0D
324342,07/03/1989,ROBB. NO GUN/DDLY.WPN,01/23/1991,SEMINOLE,8902454,15Y 0M 0D
324342,07/27/1989,ROBB. GUN OR DEADLY WPN,01/23/1991,SEMINOLE,8902496,20Y 0M 0D
324342,08/14/2004,TRAFFIC IN STOLEN PROPERTY,02/17/2005,WALTON,0400873,30Y 0M 0D
324342,09/20/2004,FEL/DELI W/GUN/CONC WPN/AMMO,02/17/2005,WALTON,0400901,40Y 0M 0D
324342,09/19/2004,FEL/DELI W/GUN/CONC WPN/AMMO,02/17/2005,WALTON,0400902,40Y 0M 0D
324342,09/13/2004,ROBB. GUN OR DEADLY WPN(ATTEMPTED),02/17/2005,WALTON,0400920,40Y 0M 0D
324342,09/13/2004,1ST DG MUR/PREMED. OR ATT.,10/13/2005,WALTON,0400903,DEATH SENTENCE
324342,09/13/2004,ROBB. WPN-NOT DEADLY,10/13/2005,WALTON,0400903,30Y 0M 0D
039763,07/21/1990,BURGUNOCCSTRUC/CV OR ATT.,02/12/1991,SANTA ROSA,9000797,5Y 0M 0D
039763,07/22/1990,BURGUNOCCSTRUC/CV OR ATT.,02/12/1991,SANTA ROSA,9000798,5Y 0M 0D
039763,07/22/1990,GRAND THEFT FIREARM,02/12/1991,SANTA ROSA,9000798,5Y 0M 0D
039763,07/28/1994,"1ST DEG MUR,COM.OF FELONY",05/05/1995,SANTA ROSA,9400397,DEATH SENTENCE
039763,07/28/1994,"1ST DEG MUR,COM.OF FELONY(CONSPIRACY TO COMMIT)",05/05/1995,SANTA ROSA,9400397,5Y 0M 0D
039763,07/28/1994,GRAND THEFT MOTOR VEHICLE,05/05/1995,SANTA ROSA,9400397,5Y 0M 0D
812974,10/29/1989,1ST DG MUR/PREMED. OR ATT.,11/02/1990,NASSAU,9000186,SENTENCED TO LIFE
812974,01/12/1990,"1ST DEG MUR,COM.OF FELONY",02/22/1991,DUVAL,9010067,DEATH SENTENCE
812974,01/12/1990,ROBB. GUN OR DEADLY WPN,02/22/1991,DUVAL,9010067,SENTENCED TO LIFE
121965,10/15/1988,1ST DG MUR/PREMED. OR ATT.,03/06/1991,POLK,9001569,DEATH SENTENCE
121965,10/15/1988,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,POISON FOOD OR WATER,03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,POISON FOOD OR WATER,03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,POISON FOOD OR WATER,03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,POISON FOOD OR WATER,03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,POISON FOOD OR WATER,03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,POISON FOOD OR WATER,03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,POISON FOOD OR WATER,03/06/1991,POLK,9001569,30Y 0M 0D
121965,10/15/1988,FRAUD-OTHER,03/06/1991,POLK,9001569,30Y 0M 0D
122079,02/14/1988,1ST DG MUR/PREMED. OR ATT.,03/14/1991,MIAMI-DADE,8805546,DEATH SENTENCE
122079,02/14/1988,KIDNAP;COMM.OR FAC.FELONY,03/14/1991,MIAMI-DADE,8805546,SENTENCED TO LIFE
182543,04/27/1990,"1ST DEG MUR,COM.OF FELONY",03/07/1991,MIAMI-DADE,9016875,DEATH SENTENCE
182543,04/27/1990,"BURGLARY,ARMED W/EXP. OR WEAPO",03/07/1991,MIAMI-DADE,9016875,SENTENCED TO LIFE
182543,04/27/1990,"GRAND THEFT,$300 LESS &20,000",03/07/1991,MIAMI-DADE,9016875,5Y 0M 0D
182543,04/23/1990,GRAND THEFT MOTOR VEHICLE,03/07/1991,MIAMI-DADE,9016875,5Y 0M 0D
182543,04/27/1990,"1ST DEG MUR,COM.OF FELONY(ATTEMPTED)",03/07/1991,MIAMI-DADE,9016875,SENTENCED TO LIFE
182543,12/29/1989,BURG/DWELL/OCCUP.CONVEY,03/21/1991,MIAMI-DADE,8901234,2Y 6M 0D
182543,12/29/1989,"GRAND THEFT,$300 LESS &20,000",03/21/1991,MIAMI-DADE,8901234,2Y 6M 0D
182543,12/29/1988,GRAND THEFT MOTOR VEHICLE,03/21/1991,MIAMI-DADE,8845286,2Y 6M 0D
351997,05/15/1990,1ST DG MUR/PREMED. OR ATT.,04/25/1991,POLK,9002242,DEATH SENTENCE
351997,05/15/1990,ARSON WILLFUL DAMA.DWELLING,04/25/1991,POLK,9002242,15Y 0M 0D
351997,05/15/1990,GRAND THEFT MOTOR VEHICLE,04/25/1991,POLK,9002242,5Y 0M 0D
351997,05/15/1990,"ARSON,WILLFUL DAMA.STRUCT.",04/25/1991,POLK,9002242,15Y 0M 0D
699349,07/03/1990,1ST DG MUR/PREMED. OR ATT.,05/01/1991,INDIAN RIVER,9000658,DEATH SENTENCE
699349,07/03/1990,ROBB. GUN OR DEADLY WPN(ATTEMPTED),05/01/1991,INDIAN RIVER,9000658,15Y 0M 0D
122551,01/20/1991,"1ST DEG MUR,COM.OF FELONY",07/23/1991,DUVAL,9101505,DEATH SENTENCE
122551,01/20/1991,ROBB. GUN OR DEADLY WPN,07/23/1991,DUVAL,9101505,SENTENCED TO LIFE
100063,06/27/1990,1ST DG MUR/PREMED. OR ATT.,08/30/1991,DUVAL,9102899,DEATH SENTENCE
100063,06/27/1990,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),08/30/1991,DUVAL,9102899,SENTENCED TO LIFE
100063,06/27/1990,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),08/30/1991,DUVAL,9102899,SENTENCED TO LIFE
100063,06/27/1990,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),08/30/1991,DUVAL,9102899,SENTENCED TO LIFE
100063,06/27/1990,"BURGLARY,ARMED W/EXP. OR WEAPO",08/30/1991,DUVAL,9102899,SENTENCED TO LIFE
100063,04/18/1990,"2ND DEG.MURD,DANGEROUS ACT",12/02/1994,DUVAL,9404813,35Y 0M 0D
338043,01/17/1988,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),06/28/1991,SARASOTA,8803202,SENTENCED TO LIFE
338043,01/17/1988,"BURGLARY,ARMED W/EXP. OR WEAPO",06/28/1991,SARASOTA,8803202,SENTENCED TO LIFE
338043,01/17/1988,ROBB. GUN OR DEADLY WPN,06/28/1991,SARASOTA,8803202,SENTENCED TO LIFE
338043,05/28/1988,BURGLARY ASSAULT ANY PERSON,06/28/1991,SARASOTA,8803246,15Y 0M 0D
338043,05/28/1988,ROBB. NO GUN/DDLY.WPN,06/28/1991,SARASOTA,8803246,15Y 0M 0D
338043,09/22/1988,"BURGLARY,ARMED W/EXP. OR WEAPO",06/28/1991,SARASOTA,8803438,SENTENCED TO LIFE
338043,10/03/1988,"BURGLARY,ARMED W/EXP. OR WEAPO",06/28/1991,SARASOTA,8803198,SENTENCED TO LIFE
338043,09/22/1988,1ST DG MUR/PREMED. OR ATT.,06/28/1991,SARASOTA,8803200,DEATH SENTENCE
338043,10/03/1988,1ST DG MUR/PREMED. OR ATT.,06/28/1991,SARASOTA,8803199,DEATH SENTENCE
